課程名稱,課程時數,課程訂價,課程售價,早鳥價格,開課時間,課程狀態,課程期數,上課地點,課程講師,合作單位,課程分類,線上課程,實體課程
好快樂online學英文,,0,0,450/堂,2019/01/01,臨櫃報名, ,線上課程,Ricky, ,國際語文,1,0
企業內訓外語專班 ,1800,0,0,依企業需求報價,2019/01/01,臨櫃報名, ,線上課程,, ,國際語文,1,0
Online線上英文免費體驗課,,0,0,0,2019/01/01,尚有名額, ,線上課程,Ricky, ,國際語文,1,0
iTalk日語個別班,,8000 ,8000 ,8000,2019/01/01,尚有名額, ,線上課程,夏樹老師, ,國際語文,1,0
Online線上英語面試準備 ,,12000 ,12000 ,12000,2019/07/01,尚有名額, ,線上課程,ILI國際語文中心專業師資, ,國際語文,1,0
Online線上英文主題討論,,7600 ,7600 ,7600,2019/07/01,尚有名額, ,線上課程,ILI國際語言中心外籍師資, ,國際語文,1,0
Online線上全民英檢初級班,,7600 ,7600 ,7600,2019/07/15,尚有名額, ,線上課程,ILI國際語言中心專業師資, ,國際語文,1,0
Online線上全民英檢中高級班,,7600 ,7600 ,7600,2019/07/15,尚有名額, ,線上課程,ILI國際語言中心專業師資, ,國際語文,1,0
Online線上全民英檢中級班,,7600 ,7600 ,7600,2019/07/15,尚有名額, ,線上課程,ILI國際語言中心專業師資, ,國際語文,1,0
Online線上全民英檢中高級班,,12000 ,12000 ,12000,2019/07/20,尚有名額, ,線上課程,ILI國際語言中心專業師資, ,國際語文,1,0
Online線上全民英檢初級班,,12000 ,12000 ,12000,2019/07/20,尚有名額, ,線上課程,ILI國際語言中心專業師資, ,國際語文,1,0
Online線上全民英檢中級班,,12000 ,12000 ,12000,2019/07/20,尚有名額, ,線上課程,ILI國際語言中心專業師資, ,國際語文,1,0
Online線上英語會話 Level A,,21600 ,21600 ,21600,2019/07/31,尚有名額, ,線上課程,ILI國際語文中心專業師資群, ,國際語文,1,0
Online線上英文會話 Level C,,21600 ,21600 ,21600,2019/07/31,尚有名額, ,線上課程,ILI國際語文中心專業師資群, ,國際語文,1,0
Online線上英文會話Level D,,21600 ,21600 ,21600,2019/07/31,尚有名額, ,線上課程,ILI國際語文中心專業師資群, ,國際語文,1,0
線上英文講座,,0,0,0,2019/09/25,尚有名額, ,線上課程,Ricky 老師, ,國際語文,1,0
兒童英語個人家教班,1800,28800 ,28800 ,28800,2019/09/29,臨櫃報名, ,線上課程,1, ,國際語文,1,0
西語個別班 ,1800,38250 ,38250 ,38250,2019/10/25,尚有名額, ,線上課程,Carmen 老師, ,國際語文,1,0
零基礎英文二,1200,6500 ,6500 ,6500,2019/09/02,尚有名額, ,建國,Sarah Chen老師, ,國際語文,0,1
日語五十音入門班,900,2000 ,2000 ,1900,2019/09/17,尚有名額, ,建國,張守仁 老師, ,國際語文,0,1
零基礎英文一,2400,6500 ,6500 ,6500,2019/09/18,尚有名額, ,建國,Emilia, ,國際語文,0,1
日文進階J3班,3000,6800 ,6800 ,6460,2019/09/18,尚有名額, ,建國,曾筱嵐 老師, ,國際語文,0,1
日文個別班,1800,36000 ,36000 ,36000,2019/09/19,臨櫃報名, ,建國,袁立 老師, ,國際語文,0,1
日文進階J1班,3000,6800 ,6800 ,6460,2019/09/19,尚有名額, ,建國,邱詩涵 老師, ,國際語文,0,1
兒童英語表達培訓,180,0,0,0,2019/09/21,尚有名額, ,建國,Amy, ,國際語文,0,1
日文進階J1班,3000,6800 ,6800 ,6460,2019/09/21,尚有名額, ,建國,荊孟帆 老師, ,國際語文,0,1
日文進階J5班,3000,6800 ,6800 ,6460,2019/09/21,尚有名額, ,建國,呂秀芬 老師, ,國際語文,0,1
開口說日語《中級1》,3000,7800 ,7800 ,7410,2019/09/23,尚有名額, ,建國,呂承芷 老師, ,國際語文,0,1
日檢N4攻略班,1800,6300 ,6300 ,5985,2019/09/23,尚有名額, ,建國,曾筱嵐老師, ,國際語文,0,1
日文進階J1班,3000,6800 ,6800 ,6460,2019/09/24,尚有名額, ,建國,游翔皓 老師, ,國際語文,0,1
自助旅遊暨打工英文,1200,5000 ,5000 ,4750,2019/09/24,尚有名額, ,建國,※ILI國際語文中心超強師資群, ,國際語文,0,1
西語入門E1 ,1800,5400 ,5400 ,3600,2019/09/24,尚有名額, ,建國,武岳(Uriel) 老師, ,國際語文,0,1
日文進階J1班,3000,6800 ,6800 ,6460,2019/09/25,尚有名額, ,建國,汪昭伶 老師, ,國際語文,0,1
開口說日語《中級3》,3000,7800 ,7800 ,7410,2019/09/26,尚有名額, ,建國,呂承芷 老師, ,國際語文,0,1
商務英文綜合班 初級,2100,6500 ,6500 ,6175,2019/09/26,尚有名額, ,建國,1, ,國際語文,0,1
華語師資系列免費講座 ,60,0,0,0,2019/09/26,尚有名額, ,建國,華語師資系列課程負責人, ,國際語文,0,1
零基礎英文二,2400,6500 ,6500 ,6175,2019/09/27,尚有名額, ,建國,※ILI國際語文中心超強師資群, ,國際語文,0,1
TOEIC多益考試先修班,1440,6800 ,6800 ,6800,2019/09/27,尚有名額, ,建國,※ILI國際語文中心超強師資群, ,國際語文,0,1
日文進階J6班,3000,6800 ,6800 ,6460,2019/09/28,尚有名額, ,建國,曾筱嵐 老師, ,國際語文,0,1
TOEIC多益平日班,1440,6800 ,6800 ,6800,2019/10/01,尚有名額, ,建國,Jenny老師 , ,國際語文,0,1
TCSL全方位華語文為第二外語教學培訓班,6120,21000 ,21000 ,21000,2019/10/02,尚有名額, ,建國,本中心特約資深華語文教學教師, ,國際語文,0,1
零基礎英文一,4320,6500 ,6500 ,6175,2019/10/03,尚有名額, ,建國,※ILI國際語文中心超強師資群, ,國際語文,0,1
零基礎英文二,2400,6500 ,6500 ,6175,2019/10/04,尚有名額, ,建國,Wilma老師, ,國際語文,0,1
日語五十音入門班,900,2000 ,2000 ,1700,2019/10/07,尚有名額, ,建國,林韵彤 老師, ,國際語文,0,1
英文會話班Level C ,2400,6500 ,6500 ,6175,2019/10/17,尚有名額, ,建國,Emilia, ,國際語文,0,1
英文會話班Level C ,2400,6500 ,6500 ,6175,2019/10/17,尚有名額, ,建國,Queenie , ,國際語文,0,1
泰語入門T1,1200,4500 ,4500 ,3600,2019/10/17,尚有名額, ,建國,陳家珍(Jeannie) 老師, ,國際語文,0,1
英文會話班Level C ,2400,6500 ,6500 ,6175,2019/10/17,尚有名額, ,建國,Emilia老師, ,國際語文,0,1
高級實力養成H6班,3000,7800 ,7800 ,7410,2019/10/19,尚有名額, ,建國,林凌育 老師, ,國際語文,0,1
TOEIC多益考試先修班,1440,6800 ,6800 ,6800,2019/10/19,尚有名額, ,建國,※ILI國際語文中心超強師資群, ,國際語文,0,1
活用日語-閱讀篇,1800,5600 ,5600 ,5600,2019/10/19,尚有名額, ,建國,呂秀芬 老師, ,國際語文,0,1
看影片學英文,1500,6000 ,6000 ,5700,2019/10/19,尚有名額, ,建國,※ILI國際語文中心超強師資群, ,國際語文,0,1
法語入門F1,1800,5400 ,5400 ,3600,2019/10/19,尚有名額, ,建國,David Blasco(柯大衛) 老師, ,國際語文,0,1
長春--日常應用英文入門班,120,0,0,0,2019/10/21,尚有名額, ,建國,蔣有德老師, ,國際語文,0,1
TOEIC多益平日班,2880,9000 ,9000 ,8550,2019/10/22,尚有名額, ,建國,※ILI國際語文中心超強新多益師資群, ,國際語文,0,1
趣讀西洋電影與文學,480,4200 ,4200 ,3570,2019/10/22,尚有名額, ,建國,Alex, ,國際語文,0,1
零基礎英文二,2400,6500 ,6500 ,6500,2019/10/28,尚有名額, ,建國,Will 老師, ,國際語文,0,1
日語五十音入門班,900,2000 ,2000 ,1700,2019/10/28,尚有名額, ,建國,呂秀芬 老師, ,國際語文,0,1
日文進階J3班,3000,6800 ,6800 ,6460,2019/10/28,尚有名額, ,建國,曾鳳儀 老師, ,國際語文,0,1
長春-日文進階班,1200,3000 ,3000 ,3000,2019/10/29,尚有名額, ,建國,呂承芷, ,國際語文,0,1
英文會話班Level D,960,6500 ,6500 ,6175,2019/11/01,尚有名額, ,建國,Jennifer老師, ,國際語文,0,1
英文會話班Level A,2400,6500 ,6500 ,6175,2019/11/02,尚有名額, ,建國,Wilma, ,國際語文,0,1
TOEIC多益平日班,1440,6800 ,6800 ,6800,2019/11/05,尚有名額, ,建國,Jenny, ,國際語文,0,1
法語入門F2 ,1800,5400 ,5400 ,5130,2019/11/05,尚有名額, ,建國,符雯珊 老師, ,國際語文,0,1
零基礎英文一,2400,6500 ,6500 ,6175,2019/11/05,尚有名額, ,建國,※ILI國際語文中心超強師資群, ,國際語文,0,1
長春-日文進階班,1200,3000 ,3000 ,3000,2019/11/18,尚有名額, ,建國, 江佳玲, ,國際語文,0,1
長春-聽學日語歌曲,1200,3000 ,3000 ,3000,2019/11/21,臨櫃報名, ,建國,江佳玲老師, ,國際語文,0,1
英文會話班Level A,2400,6500 ,6500 ,6175,2019/11/27,尚有名額, ,建國,Sarah 陳老師, ,國際語文,0,1
英文會話班Level E,2400,7500 ,7500 ,7125,2019/12/07,尚有名額, ,建國,RowLin, ,國際語文,0,1
英文會話班Level D,2400,6500 ,6500 ,6175,2019/12/10,尚有名額, ,建國,PaulSharpe老師, ,國際語文,0,1
英文主題討論課程,1800,6500 ,6500 ,6175,2019/09/03,尚有名額, ,忠孝,Mark, ,國際語文,0,1
英文會話班Level E,2400,7500 ,7500 ,7125,2019/09/03,尚有名額, ,忠孝,Christina老師, ,國際語文,0,1
英文會話班Level D,2400,6500 ,6500 ,6175,2019/09/05,尚有名額, ,忠孝,Paul Kemp老師 , ,國際語文,0,1
法語入門F1,1800,5400 ,5400 ,3600,2019/09/07,尚有名額, ,忠孝,陳姵伃, ,國際語文,0,1
韓語中高級K7 ,2160,7100 ,7100 ,6745,2019/09/08,尚有名額, ,忠孝,李真雅, ,國際語文,0,1
英語個別班,1800,45000 ,45000 ,45000,2019/09/09,尚有名額, ,忠孝,0, ,國際語文,0,1
英文會話班Level A,2400,6500 ,6500 ,6175,2019/09/10,尚有名額, ,忠孝,Jennifer老師, ,國際語文,0,1
英文會話班Level C ,2400,6500 ,6500 ,6175,2019/09/12,尚有名額, ,忠孝,Heather老師 , ,國際語文,0,1
英文會話班Level A,2400,6500 ,6500 ,6175,2019/09/16,尚有名額, ,忠孝,Emilia, ,國際語文,0,1
英文會話班Level A,2400,6500 ,6500 ,6175,2019/09/17,尚有名額, ,忠孝,Cezeil, ,國際語文,0,1
日文進階J2班,3000,6800 ,6800 ,6460,2019/09/17,尚有名額, ,忠孝,, ,國際語文,0,1
廣東話進階C6,1200,4500 ,4500 ,4275,2019/09/18,尚有名額, ,忠孝,吳庭葳 老師, ,國際語文,0,1
日文進階J1班,3000,6800 ,6800 ,5780,2019/09/19,尚有名額, ,忠孝,林凌育 老師, ,國際語文,0,1
あずみ老師の流利說日語,1800,5600 ,5600 ,4760,2019/09/19,尚有名額, ,忠孝,虞安壽美 老師, ,國際語文,0,1
TOEIC多益考試先修班,1440,6800 ,6800 ,6800,2019/09/19,尚有名額, ,忠孝,Jack, ,國際語文,0,1
TOEIC多益考試先修班,1440,6800 ,6800 ,6800,2019/09/21,尚有名額, ,忠孝,Jack, ,國際語文,0,1
高級實力養成H6班,3000,7800 ,7800 ,7800,2019/09/21,尚有名額, ,忠孝,鍾瓊儀 老師, ,國際語文,0,1
西語入門E1 ,1800,5400 ,5400 ,3600,2019/09/21,尚有名額, ,忠孝,Guillermo 老師, ,國際語文,0,1
韓語中高級K7 ,2160,7100 ,7100 ,6745,2019/09/21,尚有名額, ,忠孝,韓籍專業師資-金寶仁老師, ,國際語文,0,1
開口說日語《中級1》,3000,7800 ,7800 ,7410,2019/09/22,尚有名額, ,忠孝,郭欣怡 老師, ,國際語文,0,1
TOEIC多益週末班,1440,6800 ,6800 ,6800,2019/09/22,尚有名額, ,忠孝,※ILI國際語文中心多益超強師資群, ,國際語文,0,1
日語五十音入門班,900,2000 ,2000 ,1900,2019/09/22,尚有名額, ,忠孝,張守仁 老師, ,國際語文,0,1
德語進階G6 ,1800,5600 ,5600 ,5320,2019/09/22,尚有名額, ,忠孝,陳美鳳 老師, ,國際語文,0,1
TOEIC多益週末班,1440,6800 ,6800 ,6800,2019/09/22,尚有名額, ,忠孝,※ILI國際語文中心超強師資群, ,國際語文,0,1
Autumn Intensive Program秋季英文密集班,3600,14000 ,14000 ,13300,2019/09/23,尚有名額, ,忠孝,(外籍老師), ,國際語文,0,1
廣東話入門C1,1200,4500 ,4500 ,3600,2019/09/23,尚有名額, ,忠孝,陳穎怡 老師, ,國際語文,0,1
TOEIC多益考試先修班,1440,6800 ,6800 ,6800,2019/09/23,尚有名額, ,忠孝,Amy Yang, ,國際語文,0,1
日語五十音入門班,900,2000 ,2000 ,1500,2019/09/23,尚有名額, ,忠孝,林凌育 老師, ,國際語文,0,1
聽力口說菁英班,1500,6500 ,6500 ,6000,2019/09/24,尚有名額, ,忠孝,1, ,國際語文,0,1
日語五十音入門班,900,2000 ,2000 ,1900,2019/09/24,尚有名額, ,忠孝,袁立 老師, ,國際語文,0,1
印尼語入門N1,1200,4500 ,4500 ,3600,2019/09/24,尚有名額, ,忠孝,鄧克禮 老師, ,國際語文,0,1
韓語入門班 ,900,3000 ,3000 ,2850,2019/09/24,尚有名額, ,忠孝,韓籍專業教師-徐志姈老師, ,國際語文,0,1
韓語免費體驗講座,60,0,0,0,2019/09/25,尚有名額, ,忠孝,中籍專業師資-李淑敏 老師 (이숙민 老師) , ,國際語文,0,1
西語中級E7 ,1800,5800 ,5800 ,5510,2019/09/25,尚有名額, ,忠孝,Isabel劉 老師, ,國際語文,0,1
新聞日本語,900,3500 ,3500 ,3325,2019/09/25,尚有名額, ,忠孝,吉岡生信 老師, ,國際語文,0,1
國際商務人才培養,2400,7500 ,7500 ,7125,2019/09/25,尚有名額, ,忠孝,Charlotte老師, ,國際語文,0,1
法語入門F1,1800,5400 ,5400 ,3600,2019/09/25,尚有名額, ,忠孝,Yvette潘 老師, ,國際語文,0,1
零基礎英文一,2400,6500 ,6500 ,6500,2019/09/26,尚有名額, ,忠孝, ※ILI國際語文中心超強師資群, ,國際語文,0,1
韓語中級班K6 ,2160,6800 ,6800 ,6460,2019/09/26,尚有名額, ,忠孝,中籍專業師資-馮筱芹 老師, ,國際語文,0,1
越南語入門V3,1200,4500 ,4500 ,4275,2019/09/26,尚有名額, ,忠孝,黃美滿 老師, ,國際語文,0,1
TOEIC多益平日班,1440,6800 ,6800 ,6800,2019/09/26,尚有名額, ,忠孝,Charlotte老師 , ,國際語文,0,1
零基礎英文一,2400,6500 ,6500 ,6175,2019/09/27,尚有名額, ,忠孝,※ILI國際語文中心超強師資群, ,國際語文,0,1
日語口語能力訓練,600,3500 ,3500 ,3325,2019/09/27,臨櫃報名, ,忠孝,小田早苗 老師, ,國際語文,0,1
零基礎英文一,2400,6500 ,6500 ,6500,2019/09/27,尚有名額, ,忠孝,Sarah Chen, ,國際語文,0,1
高級實力養成H4班,3000,7800 ,7800 ,7410,2019/09/28,尚有名額, ,忠孝,林怡君 老師, ,國際語文,0,1
日語五十音入門班,900,2000 ,2000 ,1900,2019/09/28,尚有名額, ,忠孝,袁立 老師, ,國際語文,0,1
義語進階I4 ,1800,5600 ,5600 ,5320,2019/09/28,尚有名額, ,忠孝,雷武峰 老師, ,國際語文,0,1
韓語初級班K2,2160,6500 ,6500 ,6175,2019/09/28,尚有名額, ,忠孝,韓籍專業師資-呂智源 老師, ,國際語文,0,1
法語入門F1,1800,5400 ,5400 ,3600,2019/09/28,尚有名額, ,忠孝,Victor陳 老師, ,國際語文,0,1
韓語中級班K5,2160,6800 ,6800 ,6460,2019/09/29,尚有名額, ,忠孝,韓籍專業師資-Grace老師, ,國際語文,0,1
西語中級E8 ,1800,5800 ,5800 ,5510,2019/09/29,尚有名額, ,忠孝,Isabel劉 老師, ,國際語文,0,1
零基礎英文一,2400,6500 ,6500 ,6500,2019/09/30,尚有名額, ,忠孝,※ILI國際語文中心超強師資群, ,國際語文,0,1
英文會話班Level B,2400,6500 ,6500 ,6175,2019/09/30,尚有名額, ,忠孝,熊阿杰, ,國際語文,0,1
葡語入門P2 ,1800,5400 ,5400 ,5130,2019/09/30,尚有名額, ,忠孝,守般若 老師, ,國際語文,0,1
西語入門E1 ,1800,5400 ,5400 ,3600,2019/09/30,尚有名額, ,忠孝,Jose Serrati 老師, ,國際語文,0,1
British Council / Trinity: TYLEC國際證照,7200,70000 ,70000 ,70000,2019/09/30,尚有名額, ,忠孝,British Council師資群, ,國際語文,0,1
越南語入門V1,1200,4500 ,4500 ,3600,2019/09/30,尚有名額, ,忠孝,劉碧姬 老師 , ,國際語文,0,1
英文主題討論課程,1800,6500 ,6500 ,6175,2019/10/01,尚有名額, ,忠孝, 1, ,國際語文,0,1
日文進階J2班,3000,6800 ,6800 ,6460,2019/10/01,尚有名額, ,忠孝,賴素綢 老師, ,國際語文,0,1
日語中級會話班,1800,5600 ,5600 ,5320,2019/10/01,尚有名額, ,忠孝,小田早苗 老師, ,國際語文,0,1
英語個別班,1800,45000 ,45000 ,42750,2019/10/01,尚有名額, ,忠孝,0, ,國際語文,0,1
英文會話班Level E,2400,7500 ,7500 ,7125,2019/10/02,尚有名額, ,忠孝,Christina, ,國際語文,0,1
韓語入門班 ,900,3000 ,3000 ,2850,2019/10/02,尚有名額, ,忠孝,中籍專業師資-李淑敏老師, ,國際語文,0,1
西語入門E1 ,1800,5400 ,5400 ,3600,2019/10/03,尚有名額, ,忠孝,歐宇哲 老師, ,國際語文,0,1
日文進階J1班,3000,6800 ,6800 ,6460,2019/10/03,尚有名額, ,忠孝,小田早苗 老師, ,國際語文,0,1
葡語入門P1 ,1800,5400 ,5400 ,3600,2019/10/03,尚有名額, ,忠孝,守般若 老師, ,國際語文,0,1
零基礎英文一,2400,6500 ,6500 ,6175,2019/10/03,尚有名額, ,忠孝,※ILI國際語文中心超強師資群, ,國際語文,0,1
英文會話班Level E,2400,7500 ,7500 ,7125,2019/10/04,尚有名額, ,忠孝,Will, ,國際語文,0,1
義語入門I1 ,1800,5400 ,5400 ,3600,2019/10/04,尚有名額, ,忠孝,王怡人 老師, ,國際語文,0,1
日文個別班,1800,36000 ,36000 ,36000,2019/10/04,臨櫃報名, ,忠孝,澤田尚美 老師, ,國際語文,0,1
零基礎英文一,2400,6500 ,6500 ,6175,2019/10/04,尚有名額, ,忠孝,※ILI國際語文中心超強師資群, ,國際語文,0,1
英文會話班Level D,2400,6500 ,6500 ,6175,2019/10/04,尚有名額, ,忠孝,※ILI國際語文中心超強師資群, ,國際語文,0,1
日文進階J2班,3000,6800 ,6800 ,6460,2019/10/04,尚有名額, ,忠孝,郭欣怡 老師, ,國際語文,0,1
英文主題討論課程,1800,6500 ,6500 ,6175,2019/10/05,尚有名額, ,忠孝,Paul, ,國際語文,0,1
中英文口筆譯免費說明會,120,0,0,0,2019/10/06,尚有名額, ,忠孝,徐立妍、賴孟宗老師, ,國際語文,0,1
英文會話班Level B,2400,6500 ,6500 ,6175,2019/10/06,尚有名額, ,忠孝,Sarah Chen老師 , ,國際語文,0,1
英文會話班Level C ,2400,6500 ,6500 ,6175,2019/10/06,尚有名額, ,忠孝,Cezeil, ,國際語文,0,1
韓語速成會話教室,1200,4200 ,4200 ,3990,2019/10/06,尚有名額, ,忠孝,中籍專業教師-丁芷沂 老師, ,國際語文,0,1
中級實力養成H3班,3000,7800 ,7800 ,7410,2019/10/06,尚有名額, ,忠孝,小田早苗 老師, ,國際語文,0,1
廣東話入門C1,1200,4500 ,4500 ,3600,2019/10/06,尚有名額, ,忠孝,陳穎怡 老師, ,國際語文,0,1
韓語入門班 ,900,3000 ,3000 ,2850,2019/10/06,尚有名額, ,忠孝,中籍韓語專業教師-黃身安老師, ,國際語文,0,1
中日文口筆譯免費說明會,120,0,0,0,2019/10/06,尚有名額, ,忠孝,周偉琴, ,國際語文,0,1
越南語零基礎會話,1200,5000 ,5000 ,4000,2019/10/06,尚有名額, ,忠孝,劉碧姬 老師 , ,國際語文,0,1
越南語入門V1,1200,4500 ,4500 ,3600,2019/10/06,尚有名額, ,忠孝,文秋心 老師, ,國際語文,0,1
英文會話班Level C ,2400,6500 ,6500 ,6175,2019/10/07,尚有名額, ,忠孝,Lynnie, ,國際語文,0,1
British Council / Trinity: Cert TESOL國際證照,12000,77000 ,77000 ,77000,2019/10/07,尚有名額, ,忠孝,1, ,國際語文,0,1
日文進階J3班,3000,6800 ,6800 ,6460,2019/10/07,尚有名額, ,忠孝,張守仁 老師, ,國際語文,0,1
韓語入門班 ,900,3000 ,3000 ,2850,2019/10/07,尚有名額, ,忠孝,中籍專業師資-廖嘉玉老師, ,國際語文,0,1
韓語高級班K12 ,2160,7400 ,7400 ,7030,2019/10/07,尚有名額, ,忠孝,中籍專業教師-丁芷沂 老師, ,國際語文,0,1
開口說日語《初中級4》,3000,7800 ,7800 ,7410,2019/10/08,各分館地圖資訊, ,忠孝,奧健吾 老師, ,國際語文,0,1
韓語初級班K3,2160,6500 ,6500 ,6175,2019/10/08,尚有名額, ,忠孝,中籍專業教師-馮筱芹 老師, ,國際語文,0,1
越南語入門V2,1200,4500 ,4500 ,4275,2019/10/08,尚有名額, ,忠孝,吳庭葳 老師, ,國際語文,0,1
英語個別班,1800,45000 ,45000 ,42750,2019/10/14,尚有名額, ,忠孝,0, ,國際語文,0,1
西語入門E1 ,1800,5400 ,5400 ,3600,2019/10/14,尚有名額, ,忠孝,Esperanza 老師, ,國際語文,0,1
廣東話中級C7,1200,4500 ,4500 ,4275,2019/10/14,尚有名額, ,忠孝,Wilma 老師, ,國際語文,0,1
印尼語入門N1,1200,4500 ,4500 ,3600,2019/10/14,尚有名額, ,忠孝,鄧克禮(Gary) 老師, ,國際語文,0,1
法語入門F1,1800,5400 ,5400 ,3600,2019/10/14,尚有名額, ,忠孝,陳捷興(Victor) 老師, ,國際語文,0,1
德語入門G1,1800,5400 ,5400 ,3600,2019/10/16,尚有名額, ,忠孝,陳美鳳 老師, ,國際語文,0,1
越南語入門V1,1200,4500 ,4500 ,3600,2019/10/16,尚有名額, ,忠孝,文秋心 老師, ,國際語文,0,1
日語五十音入門班,900,2000 ,2000 ,1500,2019/10/16,尚有名額, ,忠孝,賴素綢 老師, ,國際語文,0,1
廣東話入門C1,1200,4500 ,4500 ,3600,2019/10/16,尚有名額, ,忠孝,陳穎怡 老師, ,國際語文,0,1
日語五十音入門班,900,2000 ,2000 ,1700,2019/10/17,尚有名額, ,忠孝,藤本紀子 老師, ,國際語文,0,1
英文會話班Level A,2400,6500 ,6500 ,6175,2019/10/17,尚有名額, ,忠孝,Jennifer, ,國際語文,0,1
義語入門I1 ,1800,5400 ,5400 ,3600,2019/10/17,尚有名額, ,忠孝,王怡人(Cecilia) 老師, ,國際語文,0,1
立馬開口說英文,2400,6500 ,6500 ,6175,2019/10/18,尚有名額, ,忠孝,Sarah 陳老師, ,國際語文,0,1
輕鬆唱歌學日語,600,2000 ,2000 ,1900,2019/10/18,尚有名額, ,忠孝,小野寺真江 老師, ,國際語文,0,1
英文中高級班,1800,48000 ,48000 ,48000,2019/10/18,臨櫃報名, ,忠孝,heather, ,國際語文,0,1
英文會話班Level B,2400,6500 ,6500 ,6175,2019/10/18,尚有名額, ,忠孝,Cezeil 老師 , ,國際語文,0,1
日語超級會話主題班,1800,6500 ,6500 ,6175,2019/10/18,尚有名額, ,忠孝,池畑裕介 老師, ,國際語文,0,1
筆譯好好玩,900,6000 ,6000 ,6000,2019/10/18,尚有名額, ,忠孝,賴素綢 老師, ,國際語文,0,1
英文會話班Level C ,2400,6500 ,6500 ,6175,2019/10/18,尚有名額, ,忠孝,※ILI國際語文中心超強師資群, ,國際語文,0,1
高級實力養成H6班,3000,7800 ,7800 ,7410,2019/10/19,尚有名額, ,忠孝,王韶瑜 老師, ,國際語文,0,1
英文講座,120,250 ,250 ,250,2019/10/19,尚有名額, ,忠孝,Jenny老師, ,國際語文,0,1
泰語入門T1,1200,4500 ,4500 ,3600,2019/10/19,尚有名額, ,忠孝,夏荷雅 老師, ,國際語文,0,1
葡語入門P1 ,1800,5400 ,5400 ,3600,2019/10/19,尚有名額, ,忠孝,守般若 老師, ,國際語文,0,1
德語入門G3 ,1800,5400 ,5400 ,5130,2019/10/19,尚有名額, ,忠孝,Emma卞 老師, ,國際語文,0,1
一次就搞定! 吉岡桃太郎帶你這樣玩「福岡」,180,588 ,588 ,588,2019/10/19,尚有名額, ,忠孝,吉岡生信 老師, ,國際語文,0,1
西語入門E1 ,1800,5400 ,5400 ,3600,2019/10/19,尚有名額, ,忠孝,Guillermo 老師, ,國際語文,0,1
韓語高級班K11 ,2160,7400 ,7400 ,7030,2019/10/19,尚有名額, ,忠孝,韓籍專業教師-崔炳旭 老師 (韓國籍)  中文流利, ,國際語文,0,1
韓語入門班 ,900,3000 ,3000 ,2850,2019/10/19,尚有名額, ,忠孝,韓籍專業教師-任偲萍 老師, ,國際語文,0,1
德語入門G1,1800,5400 ,5400 ,3600,2019/10/19,尚有名額, ,忠孝,陳美鳳 老師, ,國際語文,0,1
韓語入門班 ,900,3000 ,3000 ,2850,2019/10/19,尚有名額, ,忠孝,韓籍專業教師-任偲萍 老師, ,國際語文,0,1
泰語入門T1,1200,4500 ,4500 ,3600,2019/10/19,尚有名額, ,忠孝,夏荷雅 老師, ,國際語文,0,1
日語五十音入門班,900,2000 ,2000 ,1700,2019/10/20,尚有名額, ,忠孝,張守仁 老師, ,國際語文,0,1
中英筆譯基礎養成班,2160,15800 ,15800 ,15010,2019/10/20,尚有名額, ,忠孝,徐立妍, ,國際語文,0,1
廣東話入門C1,1200,4500 ,4500 ,3600,2019/10/20,尚有名額, ,忠孝,Wilma 老師, ,國際語文,0,1
日檢N1考前衝刺班,1200,3500 ,3500 ,3325,2019/10/20,尚有名額, ,忠孝,虞安壽美 老師 , ,國際語文,0,1
中英逐步口譯基礎養成班,2160,15800 ,15800 ,15010,2019/10/20,尚有名額, ,忠孝,張明心, ,國際語文,0,1
韓語教室《初級1》,2100,6800 ,6800 ,5780,2019/10/20,尚有名額, ,忠孝,中國文化推廣部專業韓語師資, ,國際語文,0,1
日檢N2考前衝刺班,1200,3500 ,3500 ,3325,2019/10/20,尚有名額, ,忠孝,今泉江利子 老師 , ,國際語文,0,1
英文會話班Level D,2400,6500 ,6500 ,6175,2019/10/21,尚有名額, ,忠孝,Heather 老師, ,國際語文,0,1
TOEIC多益平日班,2880,9000 ,9000 ,8550,2019/10/21,尚有名額, ,忠孝,Jenny & Jack 老師, ,國際語文,0,1
英文初級班,,48000 ,48000 ,48000,2019/10/21,臨櫃報名, ,忠孝,heather, ,國際語文,0,1
韓語中級班K5,2160,6800 ,6800 ,6460,2019/10/21,尚有名額, ,忠孝,韓籍專業教師-呂智源 老師(中文流利), ,國際語文,0,1
日檢N1考前衝刺班,1200,3500 ,3500 ,3500,2019/10/24,尚有名額, ,忠孝,虞安壽美 老師 , ,國際語文,0,1
西語高級E13,1800,6000 ,6000 ,5700,2019/10/24,尚有名額, ,忠孝,Isabel劉 老師, ,國際語文,0,1
日語五十音入門班,900,2000 ,2000 ,1500,2019/10/25,尚有名額, ,忠孝,張嘉真 老師, ,國際語文,0,1
法語入門F1,1800,5400 ,5400 ,3600,2019/10/25,尚有名額, ,忠孝,符雯珊 老師, ,國際語文,0,1
聽力口說菁英班,1500,6000 ,6000 ,5700,2019/10/26,尚有名額, ,忠孝,Jenny, ,國際語文,0,1
TOEFL Junior® 中學托福測驗講座,,0,0,0,2019/10/26,尚有名額, ,忠孝,1, ,國際語文,0,1
韓語初級班K1 ,1800,5400 ,5400 ,5130,2019/10/26,尚有名額, ,忠孝,中籍專業教師-黃身安老師, ,國際語文,0,1
